Temperatura,Umidade,Velocidade do Vento,Previsao
25,80,20,sim
30,60,15,não
22,90,10,sim
28,70,25,não
26,75,30,não
24,85,12,sim
29,65,18,não
21,95,8,sim
27,72,20,não
23,88,10,sim
32,55,22,não
20,92,6,sim
31,58,25,não
25,82,15,sim
28,70,18,não
22,91,9,sim
30,60,20,não
24,85,12,sim
29,65,22,não
21,94,7,sim
27,72,18,não
23,88,11,sim
32,55,21,não
20,92,5,sim
31,58,24,não
26,77,15,não
25,81,20,sim
28,70,25,não
22,90,10,sim
30,60,15,não
24,85,12,sim
29,65,18,não
21,95,8,sim
27,72,20,não
23,88,10,sim
32,55,22,não
20,92,6,sim
31,58,25,não
25,82,15,sim
28,70,18,não
22,91,9,sim
30,60,20,não
24,85,12,sim
29,65,22,não
21,94,7,sim
27,72,18,não
23,88,11,sim
32,55,21,não
20,92,5,sim
